"Address","Price","Beds","Baths","SQFT","Type","Laundry","Heating","Cooling","Pets","Parking","Desc","Scrape_Date","Scrape_Zip","Link"
"Babcock StIncomplete address or missing price?Sometimes listing partners send Zillow listings that do not include a full address or price.To get more details on this property, please contact the listing agent, brokerage, or listing provider. Boston, MA 02215 ","$2,500","2 beds","1 bath","-- sqft","Multi Family","No Data","No Data","No Data","Contact manager","No Data",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/Babcock-St-Boston-MA-02215/2094626139_zpid/?fullpage=true"
"Boylston StIncomplete address or missing price?Sometimes listing partners send Zillow listings that do not include a full address or price.To get more details on this property, please contact the listing agent, brokerage, or listing provider. Boston, MA 02215 ","$1,850","Studio","1 bath","-- sqft","Multi Family","No Data","No Data","No Data","Contact manager","No Data",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/Boylston-St-Boston-MA-02215/2101731123_zpid/?fullpage=true"
"(undisclosed Address)Incomplete address or missing price?Sometimes listing partners send Zillow listings that do not include a full address or price.To get more details on this property, please contact the listing agent, brokerage, or listing provider. Boston, MA 02215 ","$1,445","Studio","1 bath","-- sqft","Multi Family","No Data","No Data","No Data","Contact manager","None",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/(undisclosed-Address)-Boston-MA-02215/2121147864_zpid/?fullpage=true"
"(undisclosed Address)Incomplete address or missing price?Sometimes listing partners send Zillow listings that do not include a full address or price.To get more details on this property, please contact the listing agent, brokerage, or listing provider. Boston, MA 02215 ","$1,700","Studio","1 bath","-- sqft","Multi Family","In Unit, Shared","Forced air","No Data","Contact manager","On street",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/(undisclosed-Address)-Boston-MA-02215/2127383946_zpid/?fullpage=true"
"(undisclosed Address)Incomplete address or missing price?Sometimes listing partners send Zillow listings that do not include a full address or price.To get more details on this property, please contact the listing agent, brokerage, or listing provider. Boston, MA 02215 ","$1,600","Studio","1 bath","-- sqft","Multi Family","No Data","No Data","No Data","Contact manager","No Data",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/(undisclosed-Address)-Boston-MA-02215/2128413763_zpid/?fullpage=true"
"Queensberry StIncomplete address or missing price?Sometimes listing partners send Zillow listings that do not include a full address or price.To get more details on this property, please contact the listing agent, brokerage, or listing provider. Boston, MA 02215 ","$1,600","Studio","1 bath","-- sqft","Multi Family","No Data","No Data","No Data","Contact manager","No Data",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/Queensberry-St-Boston-MA-02215/2101731105_zpid/?fullpage=true"
"105 Queensberry St # 92, Boston, MA 02215 ","$2,150","1 bed","1 bath","-- sqft","Multi Family","No Data","No Data","No Data","Cats","No Data",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/105-Queensberry-St-92-Boston-MA-02215/2101731246_zpid/?fullpage=true"
"95 Park Dr APT 6, Boston, MA 02215 ","$2,550","1 bed","1 bath","-- sqft","Apartment","Shared","Forced air","Other","Cats, small dogs","No Data",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/95-Park-Dr-APT-6-Boston-MA-02215/2126516897_zpid/?fullpage=true"
"1066 Commonwealth Ave APT 23A, Boston, MA 02215 ","$4,250","4 beds","2 baths","-- sqft","Apartment","No Data","No Data","No Data","No","No Data",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/1066-Commonwealth-Ave-APT-23A-Boston-MA-02215/2089512917_zpid/?fullpage=true"
"922 Beacon St # 23CC, Boston, MA 02215 ","$2,550","1 bed","1 bath","-- sqft","Apartment","No Data","No Data","No Data","No","No Data",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/922-Beacon-St-23CC-Boston-MA-02215/2088269108_zpid/"
"21 Aberdeen St # T8, Boston, MA 02215 ","$1,900","1 bed","1 bath","-- sqft","Multi Family","No Data","No Data","No Data","No","No Data",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/21-Aberdeen-St-T8-Boston-MA-02215/2089063510_zpid/"
"21 Aberdeen St APT 5E, Boston, MA 02215 ","$2,150","1 bed","1 bath","-- sqft","Multi Family","Shared","No Data","No Data","Contact manager","No Data",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/21-Aberdeen-St-APT-5E-Boston-MA-02215/2087780581_zpid/"
"21 Aberdeen St APT E, Boston, MA 02215 ","$2,150","1 bed","1 bath","510 sqft","Apartment","Shared","No Data","No Data","No","No Data",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/21-Aberdeen-St-APT-E-Boston-MA-02215/59170029_zpid/"
"21 Aberdeen Street,Apt 5 21 Aberdeen St, Boston, MA 02215 ","$2,200","1 bed","1 bath","750 sqft","Apartment","In Unit","No Data","No Data","No","On street",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/21-Aberdeen-St-APT-5-Boston-MA-02215/59170034_zpid/"
"21 Aberdeen St APT 5H, Boston, MA 02215 ","$2,200","1 bed","1 bath","750 sqft","Apartment","Shared","No Data","No Data","No","No Data",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/21-Aberdeen-St-APT-5H-Boston-MA-02215/2087615227_zpid/"
"21 Aberdeen St # D05, Boston, MA 02215 ","$2,200","1 bed","1 bath","-- sqft","Multi Family","No Data","No Data","No Data","No","No Data",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/21-Aberdeen-St-D05-Boston-MA-02215/2087759864_zpid/"
"21 Aberdeen St APT 5A, Boston, MA 02215 ","$2,200","1 bed","1 bath","800 sqft","Apartment","No Data","No Data","No Data","No","No Data",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/21-Aberdeen-St-APT-5A-Boston-MA-02215/2087777393_zpid/"
"21 Aberdeen St # 5RK, Boston, MA 02215 ","$2,200","1 bed","1 bath","-- sqft","Apartment","Shared","No Data","No Data","No","No Data",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/21-Aberdeen-St-5RK-Boston-MA-02215/2087778940_zpid/"
"21 Aberdeen St APT 5M, Boston, MA 02215 ","$2,200","1 bed","1 bath","-- sqft","Multi Family","Shared","No Data","No Data","Contact manager","No Data",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/21-Aberdeen-St-APT-5M-Boston-MA-02215/2087780555_zpid/"
"21 Aberdeen Street,Apt 2458464 21 Aberdeen St, Boston, MA 02215 ","$2,200","2 beds","1 bath","645 sqft","Apartment","In Unit","No Data","No Data","No","No Data",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/21-Aberdeen-St-2458464-Boston-MA-02215/2087744594_zpid/"
"11 Aberdeen St # EOJ, Boston, MA 02215 ","$2,450","2 beds","1 bath","-- sqft","Multi Family","Shared","No Data","No Data","Contact manager","No Data",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/11-Aberdeen-St-EOJ-Boston-MA-02215/2087324597_zpid/"
"11 Aberdeen St APT E, Boston, MA 02215 ","$2,450","2 beds","1 bath","615 sqft","Apartment","In Unit, Shared","No Data","None","No","None",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/11-Aberdeen-St-APT-E-Boston-MA-02215/59169988_zpid/"
"17 Aberdeen St APT 2, Boston, MA 02215 ","$3,200","2 beds","1 bath","785 sqft","Apartment","No Data","Radiant","None","No","None",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/17-Aberdeen-St-APT-2-Boston-MA-02215/59170014_zpid/"
"11 Aberdeen St APT 2A, Boston, MA 02215 ","$3,200","2 beds","1 bath","9,999 sqft","Multi Family","In Unit, Shared","Baseboard","None","Contact manager","None",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/11-Aberdeen-St-APT-2A-Boston-MA-02215/59169992_zpid/"
"17 Aberdeen St APT 2A, Boston, MA 02215 ","$3,202","2 beds","1 bath","850 sqft","Apartment","Shared","Forced air","No Data","No","No Data",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/17-Aberdeen-St-APT-2A-Boston-MA-02215/2103608998_zpid/"
"11 Aberdeen St # 2MA, Boston, MA 02215 ","$3,300","2 beds","1 bath","-- sqft","Apartment","Shared","No Data","No Data","Cats","No Data",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/11-Aberdeen-St-2MA-Boston-MA-02215/2091160183_zpid/"
"11 Aberdeen St APT 3A, Boston, MA 02215 ","$3,150","3 beds","1 bath","800 sqft","Apartment","In Unit","No Data","None","No","None",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/11-Aberdeen-St-APT-3A-Boston-MA-02215/59169994_zpid/"
"17 Aberdeen St APT 6, Boston, MA 02215 ","$3,550","3 beds","1 bath","1,000 sqft","Apartment","In Unit","Forced air","None","No","Off street",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/17-Aberdeen-St-APT-6-Boston-MA-02215/59170018_zpid/"
"19 Aberdeen St APT 2, Boston, MA 02215 ","$3,550","3 beds","1 bath","875 sqft","Apartment","No Data","No Data","Central","No","Off street",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/19-Aberdeen-St-APT-2-Boston-MA-02215/59170020_zpid/"
"19 Aberdeen St, Boston, MA 02215 ","$4,050","3 beds","1.5 baths","860 sqft","Multi Family","In Unit, Shared","Forced air","Other","Contact manager","Attached Garage",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/19-Aberdeen-St-Boston-MA-02215/2103785780_zpid/"
"19 Aberdeen St APT 6, Boston, MA 02215 ","$4,100","3 beds","1.5 baths","860 sqft","Condo","No Data","Radiant","Wall","No","On street",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/19-Aberdeen-St-APT-6-Boston-MA-02215/59170024_zpid/"
"1325 Boylston St # 1005, Boston, MA 02215 ","$2,685","Studio","1 bath","490 sqft","Multi Family","No Data","No Data","No Data","Cats, small dogs","No Data",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/1325-Boylston-St-1005-Boston-MA-02215/2100560003_zpid/"
"1325 Boylston St # 911, Boston, MA 02215 ","$2,990","1 bed","1 bath","695 sqft","Multi Family","No Data","No Data","No Data","Cats, small dogs","No Data",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/1325-Boylston-St-911-Boston-MA-02215/2100612333_zpid/"
"1325 Boylston St # 513, Boston, MA 02215 ","$3,341","1 bed","1 bath","730 sqft","Multi Family","In Unit","Forced air","Other","Cats, small dogs","No Data",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/1325-Boylston-St-513-Boston-MA-02215/2091550171_zpid/"
"1171 Boylston St # 28(-), Boston, MA 02215 ","$2,250","2 beds","1 bath","-- sqft","Apartment","Shared","No Data","No Data","Cats","None",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/1171-Boylston-St-28(-)-Boston-MA-02215/2112791339_zpid/"
"61 Park Dr APT 5, Boston, MA 02215 ","$2,350","2 beds","1 bath","789 sqft","Condo","No Data","Other","No Data","No","No Data",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/61-Park-Dr-APT-5-Boston-MA-02215/59179672_zpid/"
"61 Park Dr APT 11, Boston, MA 02215 ","$2,495","2 beds","1 bath","650 sqft","Multi Family","No Data","Other","No Data","No","None",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/61-Park-Dr-APT-11-Boston-MA-02215/59179677_zpid/"
"1193 Boylston St, Boston, MA 02215 ","$2,175","1 bed","1 bath","-- sqft","Apartment","Shared","Forced air","Other","Cats","On street",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/1193-Boylston-St-Boston-MA-02215/2111799515_zpid/"
"1193 Boylston St # 1A, Boston, MA 02215 ","$2,195","1 bed","1 bath","700 sqft","Apartment","Shared","No Data","No Data","No","No Data",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/1193-Boylston-St-1A-Boston-MA-02215/2087084162_zpid/"
"15 Keswick St APT B2, Boston, MA 02215 ","$1,850","1 bed","1 bath","550 sqft","Apartment","No Data","Other","No Data","No","No Data",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/15-Keswick-St-APT-B2-Boston-MA-02215/59168520_zpid/"
"15 Keswick St # B2KR, Boston, MA 02215 ","$1,850","1 bed","1 bath","-- sqft","Apartment","Shared","No Data","No Data","Cats, large dogs, small dogs","No Data",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/15-Keswick-St-B2KR-Boston-MA-02215/2087085190_zpid/"
"143 Park Dr APT 2B, Boston, MA 02215 ","$1,825","Studio","1 bath","-- sqft","Apartment","Shared","Forced air","No Data","Cats","Off street",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/143-Park-Dr-APT-2B-Boston-MA-02215/2104728322_zpid/"
"143 Park Dr APT 40, Boston, MA 02215 ","$1,915","Studio","1 bath","-- sqft","Apartment","Shared","Forced air","None","Cats","None",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/143-Park-Dr-APT-40-Boston-MA-02215/2100673112_zpid/"
"143 Park Dr APT 17, Boston, MA 02215 ","$1,925","Studio","1 bath","-- sqft","Apartment","Shared","No Data","None","Cats","None",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/143-Park-Dr-APT-17-Boston-MA-02215/2118894515_zpid/"
"448 Park Dr APT 6, Boston, MA 02215 ","$4,000","3 beds","1 bath","1,003 sqft","Apartment","Shared","No Data","None","No","None",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/448-Park-Dr-APT-6-Boston-MA-02215/59172272_zpid/"
"448 Park Dr # U6, Boston, MA 02215 ","$4,000","3 beds","1 bath","1,003 sqft","Apartment","Shared","No Data","No Data","No","No Data",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/448-Park-Dr-U6-Boston-MA-02215/2092085224_zpid/"
"448 Park Dr # 9II, Boston, MA 02215 ","$4,010","3 beds","1 bath","1,003 sqft","Apartment","No Data","No Data","No Data","No","No Data",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/448-Park-Dr-9II-Boston-MA-02215/2091106999_zpid/"
"448 Park Dr APT 18, Boston, MA 02215 ","$4,100","3 beds","1 bath","1,003 sqft","Apartment","In Unit, Shared","Forced air","No Data","No","Off street",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/448-Park-Dr-APT-18-Boston-MA-02215/59172284_zpid/"
"448 Park Dr # 44810, Boston, MA 02215 ","$4,210","3 beds","1 bath","-- sqft","Apartment","Shared","No Data","No Data","No","No Data",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/448-Park-Dr-44810-Boston-MA-02215/2087139314_zpid/"
"448 Park Dr APT 15, Boston, MA 02215 ","$4,210","3 beds","1 bath","990 sqft","Apartment","In Unit","No Data","No Data","No","Off street",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/448-Park-Dr-APT-15-Boston-MA-02215/59172281_zpid/"
"448 Park Dr # U10, Boston, MA 02215 ","$4,210","3 beds","1 bath","1,003 sqft","Apartment","Shared","No Data","No Data","No","No Data",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/448-Park-Dr-U10-Boston-MA-02215/2087469696_zpid/"
"448 Park Dr APT 10U, Boston, MA 02215 ","$4,210","3 beds","1 bath","1,003 sqft","Apartment","Shared","No Data","No Data","No","No Data",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/448-Park-Dr-APT-10U-Boston-MA-02215/2087216504_zpid/"
"454 Park Dr, Boston, MA 02215 ","$3,300","3 beds","1 bath","-- sqft","Apartment","Shared","Forced air","No Data","Cats","No Data",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/454-Park-Dr-Boston-MA-02215/2100270385_zpid/"
"536 Beacon St # 103, Boston, MA 02215 ","$2,350","1 bed","1 bath","500 sqft","Apartment","Shared","No Data","Other","No","No Data",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/536-Beacon-St-103-Boston-MA-02215/2087633501_zpid/"
"536 Beacon St # 501, Boston, MA 02215 ","$3,150","1 bed","1 bath","508 sqft","Apartment","No Data","No Data","No Data","No","No Data",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/536-Beacon-St-501-Boston-MA-02215/2087142240_zpid/"
"149 Park Dr, Boston, MA 02215 ","$1,725","Studio","1 bath","445 sqft","Apartment","Shared","No Data","No Data","No","Off street",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/149-Park-Dr-Boston-MA-02215/2104183875_zpid/"
"149 Park Dr APT 22, Boston, MA 02215 ","$1,850","Studio","1 bath","360 sqft","Apartment","Shared","Forced air","No Data","Cats, small dogs","On street",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/149-Park-Dr-APT-22-Boston-MA-02215/2128413915_zpid/"
"533 Newbury St # 3, Boston, MA 02215 ","$2,950","2 beds","1 bath","650 sqft","Apartment","No Data","No Data","None","Cats","None",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/533-Newbury-St-3-Boston-MA-02215/2106050703_zpid/"
"533 Newbury St # 4C, Boston, MA 02215 ","$2,950","2 beds","1 bath","-- sqft","Apartment","Shared","No Data","No Data","Cats","No Data",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/533-Newbury-St-4C-Boston-MA-02215/2087228021_zpid/"
"533 Newbury St # 23II, Boston, MA 02215 ","$2,950","2 beds","1 bath","-- sqft","Apartment","Shared","No Data","No Data","No","No Data",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/533-Newbury-St-23II-Boston-MA-02215/2087210448_zpid/"
"39 Bay State Rd # 1, Boston, MA 02215 ","$1,890","Studio","1 bath","450 sqft","Apartment","Shared","Forced air","Central","Cats","Off street",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/39-Bay-State-Rd-1-Boston-MA-02215/2105074251_zpid/"
"39 Bay State Rd # 1RP, Boston, MA 02215 ","$2,500","2 beds","1 bath","-- sqft","Apartment","Shared","No Data","No Data","No","No Data",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/39-Bay-State-Rd-1RP-Boston-MA-02215/2089168017_zpid/"
"39 Bay State Rd # 22M, Boston, MA 02215 ","$2,800","2 beds","1 bath","-- sqft","Apartment","Shared","No Data","No Data","Cats","No Data",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/39-Bay-State-Rd-22M-Boston-MA-02215/2087972841_zpid/"
"451 Park Dr # 22, Boston, MA 02215 ","$2,995","3 beds","1 bath","-- sqft","Apartment","Shared","No Data","No Data","No","No Data",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/451-Park-Dr-22-Boston-MA-02215/2087429499_zpid/"
"451 Park Dr # 21, Boston, MA 02215 ","$3,600","3 beds","1 bath","-- sqft","Apartment","Shared","No Data","No Data","No","Off street",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/451-Park-Dr-21-Boston-MA-02215/2087173571_zpid/"
